"code","iso","country","FGA.raw.1999","FGA.raw.2000","FGA.raw.2001","FGA.raw.2002","FGA.raw.2003","FGA.raw.2004","FGA.raw.2005","FGA.raw.2006","FGA.raw.2007","FGA.raw.2008","FGA.raw.2009","FGA.raw.2010","FGA.raw.2011","FGA.raw.2012","FGA.raw.2013","FGA.raw.2014","FGA.raw.2015","FGA.raw.2016","FGA.raw.2017","FGA.raw.2018","FGA.raw.2019"
4,"AFG","Afghanistan",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
8,"ALB","Albania",1.18348781645013,0.962762323953872,0.751945157859466,0.544212403286956,0.438029143795282,0.379042254041205,0.359470306907234,0.349468614677521,0.304386356220389,0.263797130722052,0.227902093592337,0.192968242605351,0.159223953198227,0.127148063659582,0.101599326598566,0.0848084760638419,0.0767851281469174,0.0689311610209253,0.0635856674863879,0.0600816759675877,0.0577826461822881
12,"DZA","Algeria",-0.0121642262484244,0.0598647180760519,0.0973316664845245,0.129365705568581,0.115878089699613,0.088915709829728,0.0320888303540812,-0.000428092949198322,-0.0183543995811515,-0.0165850261829176,0.00253504115217007,0.0384399464939711,0.0523432641665984,0.0736464584352237,0.0671144898867977,0.0611566228147311,0.0416987956389756,0.027332107103875,0.0183074965675463,0.0147985724367921,0.0169230819983315
20,"AND","Andorra",-9999,-9999,-9999,-9999,-9999,-9999,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
24,"AGO","Angola",1.48452706998246,1.3481739463852,1.30399474100794,1.26216964083812,1.16648530172163,1.04964198909562,0.938939995651434,0.858692959204257,0.76061607593125,0.641125902704442,0.492781560913669,0.350841125926388,0.247170809337848,0.178432078378008,0.1216298660296,0.085443715668198,0.0810648286669162,0.0707918045516083,0.0648017201780107,0.0628506624731227,0.0617331503210434
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",1.08052569046332,0.881810861090003,0.682348340910239,0.488396409910337,0.377154282783258,0.304813989285416,0.254783656304584,0.222531446443672,0.191550656444001,0.166433982651417,0.148569732893052,0.134564855035213,0.118020877310009,0.101521125665337,0.0865178199168433,0.0761789620418845,0.0698247063806832,0.0642814711011104,0.0596507366493397,0.0563060711976371,0.054133100098553
32,"ARG","Argentina",-0.216788922474548,-0.145767616175152,-0.054084907858458,-0.0213662153011065,0.0268848069571745,0.0833395524849412,0.0961075298708067,0.0820759979603407,0.116019088574515,0.118620787154874,0.114872707310921,0.112081541097074,0.0921442196776392,0.0881007652003989,0.121275176643363,0.183755179339935,0.216942766311197,0.203140057611219,0.218356787165504,0.201506557255352,0.174705968809706
51,"ARM","Armenia",1.0054591240688,0.824387173999058,0.721131779202037,0.574124124585636,0.495960014458531,0.457967031319286,0.460065464395123,0.451509315424699,0.422594224541675,0.384256955507478,0.331596493617312,0.269598853117332,0.204559969571073,0.151146610923509,0.112228793733574,0.0864442219801993,0.0791161558641016,0.0696017489705736,0.0636012363648752,0.0609992732288471,0.0597916543558143
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
36,"AUS","Australia",-0.0440746760723778,-0.0130941635545987,0.0199343364387785,0.0509154784354962,0.0785396269531693,0.0933613851358956,0.10270351068328,0.103367754638554,0.100238058739433,0.0975897336675882,0.0948252568975487,0.089523679183624,0.0846128784285189,0.0715252204730421,0.0613000436059865,0.0550999337121789,0.0536236137930077,0.0523087632679213,0.0493567146225962,0.0457158004147471,0.0480549842810796
40,"AUT","Austria",0.0201167315889366,-0.0115223346623612,-0.0380154179368175,-0.0509652038673777,-0.0477913958631886,-0.0314792506420074,-0.00751809211855747,0.0352930862686152,0.0723975661168288,0.0924026059825167,0.142117884484051,0.182987406156128,0.197022979639755,0.190908106263085,0.184886286601787,0.169256881295686,0.134080464547883,0.0975759964942702,0.0516874529863771,-0.00517294670129387,-0.015217013896859
31,"AZE","Azerbaijan",-0.210835322568196,-0.156421992114137,-0.0798836433473677,0.00644238163741506,0.152599118302428,0.291926300370128,0.370385888122732,0.312294739211139,0.340362492177286,0.339785681938137,0.294035152516195,0.23127430975167,0.161025344609121,0.0789665386793796,0.0548721427418042,0.0545680657790439,0.0594320132432631,0.0602805555383608,0.0692925813271592,0.0783608356011893,0.0697259351056208
44,"BHS","Bahamas",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
48,"BHR","Bahrain",-0.150029926147781,-0.0683948377171057,-0.0764449110677613,-0.0784865171905273,-0.0615059200804425,-0.058859336498571,-0.036631739420554,-0.00724737732608527,0.0208343683653016,0.044701753922904,0.0598262928793896,0.0682363952206841,0.0635004845787852,0.0464401043440754,0.0265008312178667,0.00207434226146286,-0.00391283909051365,-0.000806176991254071,0.0024216024298136,0.00621994126767511,0.00844817327308256
50,"BGD","Bangladesh",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
52,"BRB","Barbados",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
112,"BLR","Belarus",0.548220870416908,0.548120849592006,0.511164058394356,0.447288753781399,0.389004530125904,0.337125127887063,0.308377667167893,0.28089467522184,0.256931281960106,0.235911661690855,0.210441505662091,0.183645668019944,0.152606065755452,0.122131867695278,0.0952963411016872,0.0795332358196148,0.0734022804876961,0.066279855042249,0.0620748984999175,0.0600374204219198,0.056991774610514
56,"BEL","Belgium",0.0691290805947646,0.0582460883935183,0.0470468507798965,0.045440053957861,0.0340864991688412,0.0302758170101509,0.0328562375221408,0.039065241283283,0.0478862243397415,0.0586919219736055,0.0629369232898462,0.0634063004214831,0.0663323245587772,0.0645504401661439,0.0567327425269526,0.047938863001862,0.0382944251409389,0.0318491390827114,0.0302904919908509,0.0303436988974639,0.020950471463475
84,"BLZ","Belize",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
204,"BEN","Benin",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
60,"BMU","Bermuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
64,"BTN","Bhutan",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
68,"BOL","Bolivia",2.18631261335614,2.06966291201937,1.64226735333323,1.04767319084281,0.498273274639074,0.0502691842136094,-0.0121090850861327,-0.0138770295246478,0.0143256165210413,0.055898569389585,0.0970421859463524,0.129838671288277,0.13201757523828,0.0937282845792557,0.0605713822954397,0.0528126144650056,0.0501286219372667,0.047742640699965,0.0456153081237693,0.0437143001858633,0.0420128001925264
70,"BIH","Bosnia and Herzegovina",-9999,-9999,-9999,-9999,0.186539524420361,0.188617348888123,0.174478959289967,0.139589453354403,0.109845174573136,0.0953297899077976,0.114352521341268,0.136085905252287,0.131286551108057,0.102837542024197,0.080189965273378,0.0673969788702371,0.0613561136561747,0.0566118827443218,0.0526362463432843,0.0509050849843542,0.0481896743751358
72,"BWA","Botswana",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
76,"BRA","Brazil",-0.048759533750064,-0.0645700302430566,-0.0749425566987597,-0.0673819931619783,-0.0449300637723178,-0.0156870219957939,0.019673748759973,0.046471929873021,0.0739902850518173,0.100034672424617,0.100167453672233,0.0911465095497748,0.0593239546246094,0.035403995735972,0.017579199774582,-0.00220944402537271,-0.0169119710572168,-0.0212215255650766,-0.0152533800087059,-0.00571184742305486,0.00326938583253145
92,"VGB","British Virgin Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
96,"BRN","Brunei Darussalam",1.24974664058768,1.10652223107241,0.936438706704798,0.749873462336346,0.617789284724199,0.492874116718578,0.379694579456265,0.316958301960038,0.26301598434329,0.209946256230555,0.163240417665308,0.142397434174843,0.122917547437616,0.10686991797539,0.0940168436272486,0.0836591977916212,0.0751009212679585,0.0688395769804311,0.0637597582463432,0.0597959806599639,0.0569823993310044
100,"BGR","Bulgaria",0.427493888716761,0.431922584359044,0.410009645318915,0.364495030990244,0.315942486024142,0.277961509468323,0.269359769386109,0.256404598278278,0.233140989768863,0.210441510045955,0.19030708432693,0.170402895350644,0.1526020258964,0.136042265135761,0.12632219579223,0.122803835527439,0.123644208288488,0.124774625022215,0.134315966983011,0.146932199957638,0.136809743079465
854,"BFA","Burkina Faso",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
108,"BDI","Burundi",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
132,"CPV","Cabo Verde",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
116,"KHM","Cambodia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
120,"CMR","Cameroon",-0.0507775026260801,-0.0574843736577971,-0.0690968941521326,-0.0917721327670835,-0.0944979368407893,-0.0865695431967031,-0.0804695201751986,-0.0662068519381137,-0.0443643222287042,-0.0250747503662586,-0.0132973278952577,-0.00215935944953272,-0.0126754446772617,-0.0437686328042309,-0.0678442372621637,-0.0851245795840956,-0.0981818620884906,-0.110270103932925,-0.120948245248546,-0.126694211580082,-0.143117854892713
124,"CAN","Canada",-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0406909890572258,0.0420472084851602,0.0449448397865353,0.0504660321820509,0.0590499300410561,0.0579904265381992,0.0570314283317606,0.057975760778278,0.0553454803458664,0.0507834227747592,0.0439320300798154,0.0359008441700972,0.0298666077958383,0.0239420227933105
136,"CYM","Cayman Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
140,"CAF","Central African Republic",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
148,"TCD","Chad",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
152,"CHL","Chile",0.20546451109371,0.222884895691075,0.298962444201682,0.33728160752408,0.349440751948403,0.329335988417699,0.308288061058187,0.276990479377167,0.266442794309577,0.242259398998958,0.227225057073403,0.210775567456952,0.217223276757163,0.213256884818188,0.204691072654026,0.194661974986054,0.181667657078225,0.168612402453078,0.15662857193,0.150440076240703,0.129073190612732
156,"CHN","China",0.182892329925124,0.202765294504308,0.200952036129782,0.19929268683478,0.214446207151157,0.25677222181706,0.260984106915771,0.25130596888993,0.231203001340608,0.168127810104993,0.157803295723772,0.115932819177668,0.0803060500958364,0.0571338774205163,0.0459800340327583,0.0532347089679004,0.0606626495560649,0.0736826813442013,0.0760877711622248,0.0769336557810545,0.0720900687664896
170,"COL","Colombia",0.0513257531246687,0.00683016027162764,0.0372764447386316,0.0891332001287499,0.150893112600456,0.222392486396711,0.304536603211205,0.364829913650947,0.392308144976608,0.392545401644676,0.353211766330185,0.273369685540965,0.252564481054304,0.238652479452278,0.228717340781968,0.224790977547671,0.202622513633156,0.175700668197512,0.145438764761522,0.118978986105303,0.0943180461496882
